,index,symbol,label,L-240min,O-240min,V-240min,C-240min,H-240min
2,2019-01-01 00:00:00,BTCUSDT,0.004184440822569524,3630.33,3752.22,6179.613282000002,3687.47,3776.85
18,2019-01-01 04:00:00,BTCUSDT,-0.002638472548542992,3657.7,3687.47,4396.684369000001,3702.9,3707.5
34,2019-01-01 08:00:00,BTCUSDT,0.005605001719408698,3675.04,3701.23,3025.138659,3693.13,3713.0
50,2019-01-01 12:00:00,BTCUSDT,-0.001693669338661108,3685.94,3692.32,3373.7603990000025,3713.83,3726.64
66,2019-01-01 16:00:00,BTCUSDT,-0.006724135140821042,3696.14,3714.19,2977.758982999999,3707.54,3732.0
82,2019-01-01 20:00:00,BTCUSDT,0.0038342371307307217,3666.01,3707.56,3733.121398000001,3682.61,3756.94
98,2019-01-02 00:00:00,BTCUSDT,0.02716184303424907,3642.0,3683.0,3248.115974999999,3696.73,3701.68
114,2019-01-02 04:00:00,BTCUSDT,-0.004519190759360914,3675.67,3696.71,7443.2881389999975,3797.14,3810.16
130,2019-01-02 08:00:00,BTCUSDT,-0.002354509812221295,3763.75,3796.45,4496.507096,3779.98,3810.0
146,2019-01-02 12:00:00,BTCUSDT,0.004478823042735725,3750.45,3780.0,3419.8905200000013,3771.08,3788.31
162,2019-01-02 16:00:00,BTCUSDT,0.003513755388770301,3770.0,3772.64,6266.016098999998,3787.97,3803.68
178,2019-01-02 20:00:00,BTCUSDT,0.006234741981648195,3778.23,3788.81,7454.8700089999975,3801.28,3839.63
194,2019-01-03 00:00:00,BTCUSDT,0.008779130871272578,3795.0,3802.61,7004.997171000001,3824.98,3865.72
210,2019-01-03 04:00:00,BTCUSDT,-0.0043358143970807506,3812.34,3824.98,6584.328252000004,3858.56,3882.14
226,2019-01-03 08:00:00,BTCUSDT,-0.003370789441490052,3821.14,3857.57,4473.6912429999975,3841.83,3862.74
242,2019-01-03 12:00:00,BTCUSDT,-0.006497983744593761,3805.0,3841.83,3236.0590789999987,3828.88,3850.0
258,2019-01-03 16:00:00,BTCUSDT,0.0007097791798107432,3783.0,3828.88,6171.746824000003,3804.0,3832.83
274,2019-01-03 20:00:00,BTCUSDT,-0.013318622428875382,3785.32,3803.31,4883.552906,3806.7,3823.0
290,2019-01-04 00:00:00,BTCUSDT,0.002870074547390855,3730.0,3807.37,7090.394380999997,3756.0,3807.75
306,2019-01-04 04:00:00,BTCUSDT,0.0035202480633325095,3752.37,3756.0,3576.6234150000014,3766.78,3782.69
322,2019-01-04 08:00:00,BTCUSDT,0.0008571337869440754,3730.0,3767.2,3621.222704000001,3780.04,3787.65
338,2019-01-04 12:00:00,BTCUSDT,-0.006800976930071312,3761.94,3780.04,4829.924375000001,3783.28,3800.0
354,2019-01-04 16:00:00,BTCUSDT,-0.008588042740615531,3752.0,3783.28,4627.161907,3757.55,3800.0
370,2019-01-04 20:00:00,BTCUSDT,0.0038252158227032322,3703.57,3754.05,7100.932714000002,3725.28,3765.0
386,2019-01-05 00:00:00,BTCUSDT,0.01403384917355921,3717.3,3725.3,3825.822418,3739.53,3754.0
402,2019-01-05 04:00:00,BTCUSDT,0.0060627477248214046,3733.46,3739.74,5557.98461,3792.01,3823.64
418,2019-01-05 08:00:00,BTCUSDT,-0.00782437745740494,3783.25,3790.09,7129.557489999997,3815.0,3838.7
434,2019-01-05 12:00:00,BTCUSDT,0.004256106098833534,3780.13,3815.35,5707.206319000003,3785.15,3840.99
450,2019-01-05 16:00:00,BTCUSDT,-0.004124948043543575,3770.0,3784.37,3088.816924,3801.26,3812.63
466,2019-01-05 20:00:00,BTCUSDT,0.006709671965722475,3778.01,3801.03,5490.821311999998,3785.58,3814.0
482,2019-01-06 00:00:00,BTCUSDT,-0.010501235902576234,3775.0,3785.58,4767.280883999999,3810.98,3820.0
498,2019-01-06 04:00:00,BTCUSDT,5.038504783927422e-05,3751.0,3810.89,4411.932347000003,3770.96,3812.5
514,2019-01-06 08:00:00,BTCUSDT,-0.0008511992363072762,3740.0,3771.12,4315.971701999999,3771.15,3792.12
530,2019-01-06 12:00:00,BTCUSDT,0.01228788144184878,3760.0,3771.7,2222.2334300000025,3767.94,3783.55
546,2019-01-06 16:00:00,BTCUSDT,-0.0019453416670160983,3761.81,3768.11,4988.502454000002,3814.24,3820.82
562,2019-01-06 20:00:00,BTCUSDT,0.05139197545457885,3785.0,3814.23,4666.332797000001,3806.82,3824.99
578,2019-01-07 00:00:00,BTCUSDT,-0.0037127166792423343,3800.31,3806.91,14209.305338999995,4002.46,4027.71
594,2019-01-07 04:00:00,BTCUSDT,0.0011686227304645858,3953.53,4001.41,6270.346517000001,3987.6,4015.0
610,2019-01-07 08:00:00,BTCUSDT,0.002189236171992848,3970.03,3987.62,5364.752292999998,3992.26,4017.9
626,2019-01-07 12:00:00,BTCUSDT,-0.006058485378655276,3980.08,3991.69,3600.310347999997,4001.0,4001.77
642,2019-01-07 16:00:00,BTCUSDT,-0.001722507770144599,3921.53,4001.02,9083.823681,3976.76,4015.0
658,2019-01-07 20:00:00,BTCUSDT,0.0046877637024518295,3955.02,3976.78,4169.3256040000015,3969.91,4000.0
674,2019-01-08 00:00:00,BTCUSDT,-0.0032769047165365213,3941.0,3969.91,5714.850485,3988.52,3994.98
690,2019-01-08 04:00:00,BTCUSDT,-0.007506068495390372,3951.55,3987.71,3976.556784999997,3975.45,3988.74
706,2019-01-08 08:00:00,BTCUSDT,0.0020250354191113647,3922.0,3976.76,5226.042900000002,3945.61,3989.0
722,2019-01-08 12:00:00,BTCUSDT,0.012138304330230776,3936.26,3944.94,4550.611472000001,3953.6,3968.42
738,2019-01-08 16:00:00,BTCUSDT,-0.0002773897375792922,3948.75,3953.14,6480.858247000003,4001.59,4018.0
754,2019-01-08 20:00:00,BTCUSDT,-0.006089269287685496,3981.0,4002.32,11041.944040999995,4000.48,4069.8
770,2019-01-09 00:00:00,BTCUSDT,-0.005279015723871461,3938.82,4002.04,7059.346094999997,3976.12,4007.84
786,2019-01-09 04:00:00,BTCUSDT,0.006548457319986989,3903.0,3976.11,4578.184956000001,3955.13,3985.8
802,2019-01-09 08:00:00,BTCUSDT,0.0017206602311461427,3930.04,3955.45,6544.397388000002,3981.03,3999.89
818,2019-01-09 12:00:00,BTCUSDT,-0.0003610941151689362,3978.0,3981.98,3330.883927000001,3987.88,4002.0
834,2019-01-09 16:00:00,BTCUSDT,-0.007063946779582775,3971.11,3987.76,4614.325298000002,3986.44,4006.81
850,2019-01-09 20:00:00,BTCUSDT,0.005067857756399175,3941.0,3985.52,6595.814868999999,3958.28,3996.3
866,2019-01-10 00:00:00,BTCUSDT,-0.002938411498263127,3952.44,3957.59,3951.915926,3978.34,3983.66
882,2019-01-10 04:00:00,BTCUSDT,0.003098332345934152,3955.0,3978.98,4041.325659000001,3966.65,3990.0
898,2019-01-10 08:00:00,BTCUSDT,-0.05074718392335653,3963.7,3966.06,3908.2859649999987,3978.94,3993.46
914,2019-01-10 12:00:00,BTCUSDT,-0.00980402539568237,3731.01,3978.96,17785.720102000007,3777.02,3996.01
930,2019-01-10 16:00:00,BTCUSDT,-0.0036363733592870147,3715.65,3777.54,10117.846856000006,3739.99,3783.32
946,2019-01-10 20:00:00,BTCUSDT,-0.03495876706410228,3707.07,3738.01,7258.933689999997,3726.39,3750.0
962,2019-01-11 00:00:00,BTCUSDT,-0.0028475134311424233,3540.0,3726.79,15164.910414000002,3596.12,3726.79
978,2019-01-11 04:00:00,BTCUSDT,-0.0007780516916349177,3574.64,3596.73,5214.816652000002,3585.88,3609.21
994,2019-01-11 08:00:00,BTCUSDT,0.0034551183475715072,3557.52,3585.88,6010.945118000002,3583.09,3617.04
1010,2019-01-11 12:00:00,BTCUSDT,-0.000408847800148493,3546.36,3583.05,5760.318832000001,3595.47,3597.0
1026,2019-01-11 16:00:00,BTCUSDT,-0.0023622704507512138,3562.0,3595.47,6741.017499000002,3594.0,3635.0
1042,2019-01-11 20:00:00,BTCUSDT,0.005756503258950607,3569.16,3593.57,5838.810269000001,3585.51,3616.13
1058,2019-01-12 00:00:00,BTCUSDT,-0.001342151602124142,3582.5,3586.49,4500.472387999998,3606.15,3620.24
1074,2019-01-12 04:00:00,BTCUSDT,-4.442827748785128e-05,3465.0,3606.36,9546.488409,3601.31,3658.0
1090,2019-01-12 08:00:00,BTCUSDT,-0.005212223872929522,3533.0,3601.31,5242.896091000005,3601.15,3618.19
1106,2019-01-12 12:00:00,BTCUSDT,-0.0031319960473206176,3567.31,3600.64,2608.472017,3582.38,3601.14
1122,2019-01-12 16:00:00,BTCUSDT,0.0055864200987914,3559.5,3582.09,2583.2402760000023,3571.16,3585.71
1138,2019-01-12 20:00:00,BTCUSDT,0.0007323640879839388,3530.0,3571.89,4979.2668150000045,3591.11,3605.0
1154,2019-01-13 00:00:00,BTCUSDT,-0.002952356041338477,3572.19,3591.11,3170.4972669999993,3593.74,3600.0
1170,2019-01-13 04:00:00,BTCUSDT,0.0028215554557047273,3563.01,3592.79,3429.1884079999977,3583.13,3612.39
1186,2019-01-13 08:00:00,BTCUSDT,-0.0026605514800013275,3564.41,3584.1,2812.553608000001,3593.24,3595.0
1202,2019-01-13 12:00:00,BTCUSDT,0.001590543798553501,3575.84,3593.27,1789.05319,3583.68,3598.88
1218,2019-01-13 16:00:00,BTCUSDT,-0.0038586051072887493,3571.7,3583.68,1759.0215740000006,3589.38,3590.02
1234,2019-01-13 20:00:00,BTCUSDT,-0.030683562996255083,3560.26,3589.28,3590.140673999998,3575.53,3611.1
1250,2019-01-14 00:00:00,BTCUSDT,0.0031709667553421195,3441.3,3576.32,12738.292856999995,3465.82,3576.33
1266,2019-01-14 04:00:00,BTCUSDT,0.0036355164648054217,3454.0,3465.03,3745.4232709999987,3476.81,3497.98
1282,2019-01-14 08:00:00,BTCUSDT,0.006413618191978721,3467.02,3477.56,3422.1343759999995,3489.45,3499.9
1298,2019-01-14 12:00:00,BTCUSDT,-0.006705905468089246,3487.52,3489.43,3891.676606,3511.83,3527.83
1314,2019-01-14 16:00:00,BTCUSDT,0.0409084133154447,3485.02,3511.73,4681.093618000002,3488.28,3540.0
1330,2019-01-14 20:00:00,BTCUSDT,0.001955394962241508,3487.0,3488.8,10357.493609000003,3630.98,3647.0
1346,2019-01-15 00:00:00,BTCUSDT,-0.0032956944322278803,3611.0,3630.98,8262.047131999996,3638.08,3671.87
1362,2019-01-15 04:00:00,BTCUSDT,0.0009073133871471127,3590.0,3638.74,4738.013250000006,3626.09,3665.0
1378,2019-01-15 08:00:00,BTCUSDT,-7.990345458452897e-05,3623.0,3626.08,3259.2966920000013,3629.38,3648.42
1394,2019-01-15 12:00:00,BTCUSDT,-0.004877255730775576,3610.12,3629.38,4118.230055,3629.09,3631.86
1410,2019-01-15 16:00:00,BTCUSDT,-0.003990153375846961,3578.07,3629.09,6320.081707999995,3611.39,3630.43
1426,2019-01-15 20:00:00,BTCUSDT,0.00199055874650389,3580.0,3612.1,7495.892474999999,3596.98,3640.77
1442,2019-01-16 00:00:00,BTCUSDT,-0.014172590409917475,3583.5,3597.31,4427.347342999995,3604.14,3610.73
1458,2019-01-16 04:00:00,BTCUSDT,0.005471340196900654,3516.62,3604.14,8567.480345999998,3553.06,3605.0
1474,2019-01-16 08:00:00,BTCUSDT,-0.004878936319104188,3543.51,3553.06,3219.140359999998,3572.5,3575.37
1490,2019-01-16 12:00:00,BTCUSDT,0.009549741636592168,3552.25,3572.55,4070.574005000005,3555.07,3583.71
